,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
10,fanny n,101fannyn,6 décembre 2024,Déjeuner à La Source,5.0,family,1,Très belle endroit et unique à Lyon ! Nous avons très bien mangé. Merci encore à l’équipe pour cette accueil chaleureux !
11,METIN l,870metinl,6 décembre 2024,Belle découverte,5.0,business,1,"Une belle découverte : beauté et tranquillité du cadre, service au trop et grande qualité du repas (notre spéciale pour la moutarde en ramequin à la demande)"
12,Georges C,georgescQ3195EL,6 décembre 2024,Repas d’affaire impromptu,5.0,business,1,"Excellente expérience, accueil au top et assiette très satisfaisante ! Je recommande cet établissement, au cadre agréable et original."
13,vanessa411,vanessa411,4 décembre 2024,Vous reviendrez  à La Source,5.0,business,25,"J’y suis venue en famille, pour affaire et entre amis, que ce soit pour un repas classique, une privatisation professionnelle ou une soirée dansante… c’est un lieu magnifique , plein d’histoire où tout est bon, en circuit court et d’une grande qualité (y compris le service). Je conseille vivement ce retour aux sources, à La Source !"
14,Charlotte B,charlottebN3493QZ,30 novembre 2024,Un lieu unique avec un service impeccable,5.0,business,1,"Nous avons passé un excellent moment à l’occasion de notre séminaire de fin d’année ! La nourriture était délicieuse, mais ce qui a vraiment marqué notre expérience, c'était le service impeccable. Merci particulièrement à Quentin pour cette belle soirée ! Nous reviendrons avec plaisir."
15,moune g,mouneg2024,29 novembre 2024,délicieux et magique,5.0,friends,1,"privatisé pour un anniversaire l'endroit est magique splendide, le repas, les tapas, et les desserts sublimes . J'ai eu l'impression d'être projeté dans un palais .... tout était parfait . Je recommande cette adresse , avec une super équipe.
Merci 
Gisèle"
16,flo B,198flob,29 novembre 2024,déjeuner entre amis,5.0,friends,1,Nous avons découvert la Source lors d'un déjeuner entre amis. Nous avons tous été totalement séduits par le lieu. Je le recommande à toutes mes connaissances.
17,Caroline S,carolinebJ657EN,28 novembre 2024,séminaire dans cadre exceptionnel,5.0,business,1,"Nous avons privatisé une salle pour un séminaire d'entreprise, le cadre est idéal pour ce genre de réunion et les prestations sont à la hauteur. C'est un lieu atypique en plein centre de Lyon tout proche de la gare. Nous avons été très satisfaits et reviendrons au printemps pour de prochaines réunions pour profiter des belles terrasses."
18,edgar l,Q6468CNedgarl,28 novembre 2024,Un diner dans un endroit unique sur Lyon,5.0,friends,1,L'endroit est parfait pour passer un moment agréable avec des amis. On a vraiment bien mangé dans un endroit unique sur Lyon
19,frederic p,Y1289ZCfredericp,28 novembre 2024,réunion professionnelle,5.0,business,1,"Endroit parfait pour une réunion avec mon équipe commerciale parisienne.
buffet original et service réactif. Salle et terrasse privatisée."
20,stan,authenticlabo,28 novembre 2024,privatisation pour réunion professionnelle,5.0,business,1,Nous avons privatisé le lieu pour y organisé une réunion professionnelle de rentrée. Nous avons été très satisfaits  : très bonnes prestations dans un cadre vraiment original avec de belles terrasses dont nous avons pu profiter.
21,Cecha,celineEcha,27 novembre 2024,Vraiment sympa,4.0,business,5,"Parfait endroit pour une réunion de travail ""détendue"", suivie de tapas et bon verre. Accueil parfait . Recommande fortement"
22,Cameron C,cameroncA1881GN,27 novembre 2024,Service excellent,5.0,business,1,"En plein séminaire à Lyon nous avons eu la chance de dîner à la source et par la même occasion de rencontrer Fanny et son équipe. Merci à elle pour son amabilité tout au long du repas. Encore merci, nous reviendrons avec plaisir et sans hésitation"
23,Charles L,G8527XGcharlesl,27 novembre 2024,Incroyable,5.0,business,1,"Super endroit ! Accueil très chaleureux 
La serveuse Fanny est super !
Souriante et dynamique 
Mon équipe et moi même avons passé un super moment 
Je recommande"
24,binôme,binomemenu,27 novembre 2024,réunion professionnelle dans lieu original,5.0,business,1,"Nous avons réservé l'une des salles de la Source pour notre séminaire.
Tous les participants ont apprécié ce lieu authentique, l'accueil très professionnel du personnel et les délicieux plats faits maison.
Nous recommandons fortement cet établissement."
25,Jeanne S,X6421JBjeannes,26 novembre 2024,Mon coup de cœur 2024,5.0,family,1,"J’ai adorer, le service était impeccable, la cuisines excellente et le lieu est vraiment très beau. Pas déçu une seule seconde, j’y reviendrais sans hésiter."
26,Sandra D,L8005TSsandrad,26 novembre 2024,Je recommande,5.0,friends,1,"Un restaurant exceptionnel ! Le cadre est magnifique, avec une décoration soignée et une ambiance chaleureuse. Les plats sont un véritable délice, préparés avec des ingrédients frais et présentés avec soin. Service impeccable, personnel attentionné. Une expérience à ne pas manquer, j’y retournerai sans hésiter !"
27,poitrasson,Quest67472969353,26 novembre 2024,Excellente prestation du début à la fin,5.0,business,1,"Nous avons organisé un séminaire à la Source et avons été enchantés de l’accueil qui nous a été réservé. Le cadre est magnifique et les plats excellents qu’il s’agisse du goût ou de la présentation .
Excellente prestation du début à la fin !"
28,Cle B,102cleb,26 novembre 2024,Lieu incroyable,5.0,friends,1,Lieu incroyable pour boire un verre et manger quelques tapas en été ! Havre de fraicheur et de calme dans la fournaise lyonnaise !!
29,frederic,fserb54,26 novembre 2024,Très bonne expérience,5.0,friends,1,"Pour un déjeuner entre amis, nous avons apprécié ce moment convivial dans un cadre très agréable avec un service impeccable et dégusté des plats savoureux, préparés avec des ingrédients de qualité. Nous y retournerons avec plaisir pour déguster cette délicieuse cuisine."
30,Veronique G,737veroniqueg,26 novembre 2024,"Charme, élégance et bon rapport qualité/prix",5.0,friends,1,"Cadre élégant, authentique et plein de charme. La cuisine est est au rendez-vous avec un très bon rapport qualité/prix. Je recommande!"
31,Fabien S,fabiensF9672YW,26 novembre 2024,Un déjeuner solo de grande qualité,5.0,solo,1,"Accueil chaleureux dans un endroit 
atypique chargéd'histoire, une cuisine de grande qualité
Je recommande vivement"
32,Jouanco,jouanco,26 novembre 2024,Belle surprise,5.0,couples,11,Sommes venus en amoureux un midi. Le service est rapide et efficace. Une cuisine soignée et réfléchie dans un cadre agréable et convivial. Adresse à recommander ++
33,Antoine C,antoinecG5267NM,26 novembre 2024,Exceptionnel,5.0,friends,22,"Lieu magnifique même en inter saison.
Personnel accueillant 
Plats excellents 
Très bon rapport qualité/prix 

Le + : le chef Maxime est passé nous saluer"
34,bénédicte D,339b_n_dicted,26 novembre 2024,Je recommande,5.0,family,1,"Un îlot de tranquillité au milieu de l'agitation urbaine .
Produits frais de saison et parfaitement cuisinés
Accueil chaleureux"
35,clara c,claracM4098NP,26 novembre 2024,L’adresse qu’il vous faut,5.0,family,2,"L’endroit parfait à Lyon, le cadre est incroyable tout comme la nourriture. 
Je vous le conseille vraiment ce restaurant, vous ne serez pas déçu!"
36,Agathe,Aureales38,30 octobre 2024,Déjeuner d'affaire,5.0,business,2,"Endroit charmant, à l'intérieur d'une cour. Accès facile, proche gare Perrache. Accueil très sympathique. Carte variée."
37,Trail38518455194,Trail38518455194,10 juin 2024,Lieu idéal pour les événements ! Equipe au top,5.0,business,1,"Nous avons privatisé le lieu et le restaurant pendant 2 jours pour un événement avec nos clients. L'équipe de La Source s'est non seulement montrée très disponible en amont, mais également pendant l'événement. Respect des consignes, adaptation, disponibilité, efficacité et gentillesse des équipes. Mention spéciale à Serge, Laetitia, Romain, Jérémy et Victor. Merci à vous tous.
Le lieu est parfaitement adapté pour des événements. Le bâtiment et les terrasses sont très beaux. 
Les repas étaient également de qualité, aussi bien le buffet que le cocktail, midi et soir. Les clients sont enchantés et nous aussi."
38,JJA2000,JJA2000,28 mai 2024,Chiiiiilllll,5.0,friends,2,Toujours un très beau moment passé en mode lounge en soirée pour papoter entre copine ... Excellent accueil a chaque fois
39,Laura M,lauramX7195PF,6 mars 2024,Expérience inoubliable,5.0,business,1,"cadre idéal, équipe accueillante, serviable et chaleureuse. 
Responsable orienté besoin et demande clientèle 
Excellent service!!"
40,Caroline D,carolinedS4485QF,29 février 2024,Convivial & pratique,5.0,business,4,2 jours de séminaire très agréables : une grande salle lumineuse avec du cachet et un personnel très attentionné. Merci pour tout. Je recommande. Surtout situation idéale  proche gare et hôtels !
41,Loly_rose,Loly_rose,15 février 2024,Au top,5.0,family,73,"Nous nous sommes régalés tant gustativement que visuellement. 
Le plat la criée du jour très bon. Le lieu est superbe et atypique. Bien pensé dans chaque espace.
Service au top, le monsieur a été très sympa et accueillant"
42,cmoja,cmoja,7 décembre 2023,Réunion de travail,4.0,business,2448,"Nous étions nombreux pour cette réunion de travail.  L'environnement est cosy. L'accueil très professionnel et l'accès est facile car à 5 minutes à pied de la gare de perrache. Accueil petit déjeuner très complet avec fruits. Buffet pour le repas de midi dans la même salle très bon, copieux. Après il faudrait mieux repartir les plats afin que chacun puisse manger de tout. "
43,Zakaria J,zakariajbairi,27 novembre 2023,Privatisation salles pour Anniversaire,4.0,family,7,"J'ai organisé une fête surprise pour les 40ans de mon épouse, en invitant 45 personnes, la fête a eu un grand succès grâce à la beauté et confort de la ""location"" la salle centrale avec ses lumières et espace, la cuisine le bar et surtout la disponibilité et la gentillesse du personnelles sur place, un merci particulier a Victor et Romain qui ont été exemplaires.
les invitées dont certains ont fait le déplacement depuis l'Italie et la Suisse ont beaucoup apprécié :-)
a recommander vivement."
44,Cecha,celineEcha,23 novembre 2023,Vraiment sympa,4.0,business,5,"Parfait endroit pour une réunion de travail ""détendue"", suivie de tapas et bon verre. Accueil parfait . Recommande fortement "
45,Camper42875563355,Camper42875563355,15 novembre 2023,Parfait,5.0,business,2,"J'ai connu le Source Store lors d'un événement professionnel.
L'endroit est parfait : Facile d'accès, un lieu à la fois convivial et intimiste favorisant les échanges.
Une équipe à l'écoute et très professionnelle.
Vraiment je recommande ++++"
46,Frédérick M,789fr_d_rickm,6 novembre 2023,Repas de famille dans un cadre idyllique,5.0,family,15,"Pour un repas de famille réussi à Lyon 2e, pensez à ce restaurant situé dans un cadre idéal et très agréable. Le gérant peut vous proposer un buffet pour plus de convivialité. Je recommande vivement pour les événements business."
47,Frédérick M,456fr_d_rickm,3 octobre 2023,Parfait en tout point !!,5.0,family,1,"Une véritable expérience dans un lieu formidable
Un buffet bien organisé pour un repas de famille réussi 
On recommande vivement"
48,gregory b,S4333BQgregoryb,29 juin 2023,Evenement clients,5.0,business,2,"Equipe sympa, organisation de l evenement entreprise au top, personnel attentionné et professionnel, je recommande !"
49,Marie M,mariemA5141ZG,29 juin 2023,Je recommande plus plus !,5.0,business,1,"Organisation d’un événement professionnel de très bonne qualité ! 

Une équipe accueillante et joyeuse. 

Un matériel de projection et de diffusion de son de haute qualité. 

Un buffet équilibré et de bonne qualité. 
"
50,johanna,Dream35064646808,21 juin 2023,Super Soirée Pro,5.0,business,1,"Nous avons choisi cet endroit pour un évènement intra-professionnel sans le connaître et franchement, tout était parfait : de sa préparation à la soirée en elle même.
Le lieu splendide, l'organisation au top et le personnel sur place le soir au petits soins. C'était vraiment très agréable.
Je recommande vivement ce lieu plein de charme aussi bien par son caractère historique que par les gens qui le composent et l'animent."
51,véronique m,v_roniquem636,21 juin 2023,Un établissement  de qualité  à découvrir,5.0,business,1,"Un endroit assez incroyable au centre de Lyon Une très belle terrasse au calme, dans un très bel environment.
En plus l’accueil est chaleureux nous y avons passé la soirée avec un groupe. De 40 personnes c‘’était parfait.
Je recommande vivement cet endroit encore peu connu mais pas pour longtemps au vu de la qualité des prestations."
52,Philippe J,philippejV3232DR,21 juin 2023,un endroit idéal pour une séance de créativité,5.0,business,1,"Les responsables de cet établissement font preuve d'un professionnalisme, d'une efficacité, et d'une mise en ambiance de fait très décontractée car ils maitrisent la technique  "
53,MHS C,381mhsc,16 juin 2023,Extraordinaire !,5.0,business,1,"Nous avons organisé un afterwork dinatoire d'entreprise. Tout le monde a été ravi de la qualité des produits, du service et de la sympathie du personnel... et tout le monde a été séduit par le lieu. Nous reviendrons l'année prochaine !"
54,Aude P,824audep,25 mai 2023,bel expérience,5.0,business,1,"Très sympa. Le personnel est très souriant et agréable. Le lieu est plutôt calme et joliment décoré. Les plats sont rafinés et le prix est très correct.
A refaire."
55,famillemalecot,famillemalecot,14 mai 2023,Dommage,2.0,couples,20,"De retour d'une journée de découverte de Lyon on a été attiré par les avis pour y passer notre samedi soir.
Mais quelle déception...
Si le lieux est joli et original et le personnel tres sympas en revanche côté ambiance et qualité des plats on repassera.
2 planches
1  rougaille saucisson
2 bières
46 euros (oups)
La charcuterie extrêmement salé souvent mauvais  signe en terme de qualité.
Rougaille saucisse bon mais pas de quoi nourrir une personne.
Dommage la promesse est belle mais son exécution deceptive ."
56,Catherine B,Q1576YLcatherineb,25 avril 2023,Anniversaire surprise,5.0,friends,1,"Organisation d'un anniversaire surprise pour une quarantaine de convives :
le lieu est magnifique et très bien adaptée pour ce genre d'évènements! L'équipe de la Source a été au top pour m'aider à organiser cette fête surprise : accueil, animation, bar, cocktail, musique, tout était réussi! "
57,A T,at318,4 avril 2023,Très belle expérience.,5.0,none,4,"Pour l'organisation d'un événement familial : super cadre, bucolique et tres agréable. Bonne cuisine et équipe au top ! Je recommande."
58,titi,azerty01m,1 octobre 2022,super resto,5.0,friends,1,"Très bon accueil , cuisine excellente, je recommande . Produits frais bien présentés une cave à vin tres sympa"
59,arvjg,alicerK2577UB,1 juin 2022,Bonne adresse !,4.0,friends,51,"Rapport qualité prix irréprochable ! 
Des plats copieux et abordables dans un cadre vraiment chaleureux.
Un service rapide et accueillant."
60,Célestin C,CelestinCD,18 mars 2022,La convivialité à l'état pur,5.0,none,1,Nous avons réservé dans ce restaurant par hasard et nous avons adoré ce moment. Le personnel était agréable et les plats délicieux. Mes amis et moi recommandons cet établissement pour passer un moment sympathique.
61,Constance D,ConstanceDC69,18 mars 2022,Un rapport qualité/prix et un service imbattable,5.0,none,1,"Super repas entre amis, les serveurs étaient serviables et amicales. 
Les plats étaient bons et soignés, un rapport qualité/prix au top !"
62,Bouteille F,b0uteillef,18 mars 2022,Un super moment !,5.0,none,2,"Un lieu magnifique, une ambiance relaxante, un personnel serviable, souriante, accueillante ! Les plats sont beaux en plus d'être bons. Un rapport qualité prix très bien. Je recommande vivement !"
63,Sarah Minassian,sarahminassian,18 mars 2022,Super !,5.0,none,1,"Restaurant très sympa entre amis, personnel au top et très accueillant !
Très bon plats, nous reviendrons ;)"
64,Clara Lombardi,claralombardi,18 mars 2022,Excellent !,5.0,none,6,"Excellent! J'ai vraiment passé un très bon moment a La Source. Les plats sont succulents, et le personnel plus qu'agréable. Le rapport qualité/ prix est super! On sent que les produits sont qualitatifs et choisit avec soin. 
 
Je recommande grandement !"
65,Sandra,S69002S,16 mars 2022,Excellent moment convivial,5.0,friends,2,Je viens régulièrement depuis début mars 2022. Ce restaurant propose d'excellents plats variés et frais. Vous pouvez à la fois déjeuner et également réserver votre anniversaire ou événement de mariage les we. Les afters work aussi ...A recommander sur Lyon.
66,LX S,SofyLX,18 février 2022,Resto entre amis,5.0,friends,4,"Ce resto est devenu notre QG pour des retrouvailles mensuelles entre amis.
Aujourd'hui,  le groupe s'est agrandit.
Nous mangeons toujours aussi bien.
la carte évolue chaque mois.
Le service est top et le service est excellent.
Petite mention spéciale au thé glacé maison."
67,Charlène B,149charl_neb,28 janvier 2022,Resto & Chill,5.0,couples,1,"Super petit resto pour une soirée en amoureux.
Pourquoi ne pas revenir entre amis.
Accueil et repas rien à redire, on y retournera avec plaisir."
68,Camille B,M2379HWcamilleb,27 janvier 2022,Repas entre copine,5.0,friends,1,"Je ne m'attendais pas à avoir une tel surprise en passant dans cet rue .. wahou , nous partions pour rentrer sur Paris, pause repas avant de prendre le train , c'était génial,  la serveuse : super souriante et sympathique,  le barman : des cocktails superbe le cocktail du moment 10/10 !!! 
Et la cuisine juste super bon !

rapport qualité  Difficile de mieux faire ! 
A bientôt !"
69,ue4dm,ue4dm,15 janvier 2022,La source est tarie!!!,2.0,couples,54,"Enthousiasmés par les nombreux avis positifs et en quête d'un bon restaurant sur Lyon, nous nous sommes rendus dans cette enseigne.
Le cadre plutôt charmant et romantique était annonciateur d'une bonne soirée, mais nous sommes allés de déception en déception
A notre arrivée à 20h30 à notre grande surprise personne dans le restaurant, mais vraiment personne...
Accueillis par des serveurs forts sympathiques et plein de bonne volonté, nous décidions de commander un cocktail, une toute simple pinacolada, pas disponible ce soir selon le serveur.
Viens ensuite le moment de choisir notre plat, la carte où la moitié des plats avaient été effacés nous est présentée, peu convaincu par les quelques plats de la carte, nous options pour la carte des tapas, même cas de figure nous demandions une ""asiatique"" pas disponible non plus... Après quelques minutes où le serveur semble s'être mis lui même en cuisine, nos planches de tapas arrivent.
Nous avons opté pour la planche "" poisson et crustacés"" composée d' un tartare de saumon plutôt bons et ensuite de fritures peu travaillées et écoeurantes. ""La française"" quand à elle était pour moi pas généreuse du tout avec deux tranches de jambon, deux de bacon et trois tranches de magrets si peu pour 15e!
La seule bonne planche pour moi a été ""la fromagere.""

Au final presque 60e pour des planches qui semblaient préparés à l'avance.
Je pense que nous sommes venus le mauvais soir où la moitié des plats n'étaient pas disponibles, peut être le chef n'était pas là ce soir là??
En tout cas ce soir là la prestation n'était vraiment pas au niveau... Très déçus..."
70,Gaël R,859ga_lr,11 janvier 2022,Formidable lieu et équilibre,5.0,business,3,"Le déjeuner est délicat et simple.
Le service est très délicat.
L'équipe souriante.
Le thé servi avec soin."
71,Céline R,CelineR38,11 janvier 2022,Parfait pour travailler déjeuner se ressourcer à la Source !,5.0,none,4,"Une équipe parfaite, très attentionnée, un cadre magnifique, soigné, lumineux, cosy et confortables à 2 pas de la gare Perrache, des services et prestations de grande qualité pour des séminaires, réunions de travail, des déjeuners et temps détente tellement agréables ! C'est devenu mon endroit préféré pour tous mes rdv pro et de qualité ! Merci"
72,justineondet,justineondet,11 janvier 2022,Très bon déjeuner,5.0,family,22,"Un très agréable déjeuner ! Carte avec choix de produits frais, décor super et jolie terrasse qui doit être agréable l'été ! Nous reviendrons avec plaisir."
73,Naomi V,naomiv495,4 janvier 2022,Un incontournable lyonnais !,5.0,friends,1,"Restaurant cosy pour passer un bon moment, cadre idyllique. Accueil plus que chaleureux, et une cuisine à tomber à la renverse ! A consommer sans modération"
74,Béatrice V,701b_atricev,6 décembre 2021,Un vrai joyau,5.0,none,1,"Découvert par hasard, nous avons passé un vrai beau moment de convivialité. tout est super : le lieu historique, le décor, l'accueil, l'ambiance, les cocktails et tapas.
Nous y reviendrons en toutes saisons car le cadre extérieur semble aussi prometteur que l'intérieur.
Bravo !"
75,Alex,alex69-387,4 décembre 2021,Soirée entre amis,5.0,friends,1,Super accueil de Jeremy et Victor ce soir là c’était calme et sa nous a permis de discuter histoire avec Jeremy déguster des super cocktails et manger des super tapas grâce à Thomas merci beaucoup à vous 3 à très vite
76,Fitness Divonne,804fitnessd,3 décembre 2021,Parfait,5.0,none,4,"Super accueil, très chaleureux, plats de qualité.
Nous y avons mangé plusieurs fois et nous avons apprécié de plus en plus les propositions de plats.
L'endroit est très beau et convivial, on s'y sent tout de suite bien et en mode coocooning"
77,Emi B,Emi2102,3 décembre 2021,Très très bon,5.0,none,1,"Un endroit super sympa et convivial, merci pour l'accueil et la dispo de tous le monde.
La soupe de légumes est merveilleuse"
78,Johnny F,johnnyf342,29 novembre 2021,"Calme, chill, saveurs !!",5.0,friends,2,"Accueil très chaleureux 
De très bons cocktails 
Une cuisine diversifiée maîtrisée et innovante !!

Merci et à bientôt!!!"
79,Jérémy,j_r_myt252,22 novembre 2021,Très bonne Adresse ! Je recommande Fortement,5.0,friends,1,"Le lieu est agréable et chaleureux, la cuisine est délicieuse et variée ( le menu change toutes les semaines) le service est attentionné et efficace. 
Je recommande vivement que ce soit pour un déjeuner le midi ou pour un verre entre amis après le travail ( le barman prépare de très bon cocktails) 
PS: j’ai vraiment hâte de découvrir la terrasse quand le temps le permettra"
80,mathilde b,P413KNmathildeb,22 novembre 2021,Lieu très agréable pour des journées professionnelles,4.0,none,2,"Nous louons régulièrement une grande salle très bien équipée dans ce lieu magnifique.
L'accueil est très bien, professionnel, et les déjeuners en groupe sont très bien gérés"
81,PATOU,PATOU38000,22 novembre 2021,Un vendredi soir romantique,5.0,couples,1,"Je ne suis pas le genre de personne à mettre des avis , mais la , je ne met pas un avis , je RECOMMANDE FORTEMENT,  de la prise de réservation au départ tout étais parfait  sa donne déjà envie avant même d'y être !  on arrive devant ce bâtiment ... waaah chargé d'histoire ! Nous voyons la terrasse dans un premier temps les plaide, les fauteuils... dommage qu'il fasse froid ces jours ..
Nous rentrons dans ce bâtiment,  double waaaah la décoration est chaleureuse est très humble,  l'architecture est tellement belle ... beaucoup de goût... nous avons choisi de prendre un apero dînatoire , les tapas mixtes , un délice ! La serveuse nous a proposé des tapas dans l'idée d'un "" apero dînatoire "" , idée à gardé !! Bon rapport qualité prix , beau et bon ! Les cocktails création.... un DÉLICE ! 

Je vous passe les détails pour que vous ailliez par vous même découvrir ce lieu, et cet équipe pleine de dynamisme et de bonne ondes !"
82,Mareva 69,Mareva65,22 novembre 2021,Exceptionnel,5.0,couples,4,"Lieu très paisible et Cosi, loin de la circulation.. l'accueil du personnel est chaleureux et très a l'écoute..les plats sont un pure délice et le cadre s'y prête bien..
Je recommande vivement ce lieu et pour un moment a deux c'est tout simplement magique.

Nathalie"
83,Blanco E,blancoe254,20 novembre 2021,Soirée entre amis,5.0,friends,4,"Agréablement surprise pour la 2 eme fois… cadre toujours aussi magique et de très belles nouveautés culinaires ainsi qu une belle rénovation de la déco intérieure que je trouve plus chaleureuse….
Mais ce que j affectionne particulièrement c est cette impression d être ailleurs… dans un lieu privilégié et l abri des tumultes de la ville avec les superbes cocktails du barman…!!!"
84,Mathieu D,mathieudB3472HT,19 novembre 2021,Excellentissime !!!,5.0,friends,1,"Endroit très chaleureux et reposant !! Ambiance tres moderne dans un lieu atypique et chargé d'histoire.
Le service y est irréprochable et très complet.
Mes cocktails du barman sont tres rechercher, cela change des bars traditionnels !!!! 
Et pour la cuisine tout est fait maison de l'entrée au dessert !!! Et ça ce sent !! Belle composition aussi beau que bon !!! 
En tout cas nous avons passé un très bon moment et n'hésiterons pas a revenir !!!
Je recommande vivement cette adresse..."
85,sandrine J,SJ6901,19 novembre 2021,Repas d'affaires,5.0,business,1,Restaurant très calme et cosi. La cuisine est délicieuse et l'équipe très avenante et charmante. Je recommande😉
86,LX S,SofyLX,19 novembre 2021,Resto en amis,5.0,friends,4,"Un cadre moderne et dynamique.  Serveurs très agréables et soucieux de la qualité du service et des plats.
Deuxième fois que je viens et je suis conquise par ce restaurant.  Au plaisir..."
87,Yahiko69320,Yahiko69320,19 novembre 2021,Resto cosy entre ami,5.0,friends,15,Super restaurant dans un cadre magnifique. Une carte épurée avec que des mets de très bonne qualité. Un service très agréable et très attentionné. Je recommande très fortement
88,Agathe K,agathek2018,30 juillet 2021,Sympa !,4.0,couples,22,"Accueil très chaleureux par le chef des lieux ! Vraiment agréable d’être accueillies de cette façon, et tout au long du service ! 
Les planches étaient bonnes, le dessert salade fruits, un peu simple. 
Nous recommandons"
89,Amélie,AmelieVil,3 juin 2021,Belle découverte,5.0,friends,4,"Un lieu chaleureux et intimiste en retrait 
Les cocktails sont très sympas!
Le cadre est sublime… la rénovation est de très bon goût
Le staff est à l’écoute et super serviable
L’endroit est parfait pour se retrouver entre collègues, amis… on peut même privatiser une partie des terrasses!
Je recommande sans hésiter 
Petit bonus : un terrain de pétanque :-)"
90,Christine T,117christinet,6 novembre 2020,Endroit très sympa dans l’ancienne prison Saint-Paul,4.0,none,3810,"A deux pas de la gare de Perrache.
Avions loué une salle pour une formation une semaine et déjeuné le midi sur place.
Salle agréable pour la formation,
Bonne formules de repas, plats copieux.
Belle salle.

Service agréable et efficace.

Les extérieurs sont très sympas même en automne."
91,Antoine B,antoinebravo,21 septembre 2020,Lieu charmant et cuisine maison agréable,5.0,none,10,"La source est un petit coin de paradis au cœur de Lyon. Le lieu est cosy avec une grande terrasse extérieur calme. 

Service agréable. Ils proposent plusieurs plats du jours de saison avec des légumes frais. Des plats originales, très bien équilibrés et à un prix plus que raisonnable. 

Par ailleurs la carte des cocktails peux plaire à tout le monde du faite de ça variété.

Très bonne adresse lyonnaise qui vaut le détour. 

"
92,Joelle W,joellew38150,2 août 2020,Un lieu extra et une cuisine délicieuse,5.0,none,2,"Situé à 2 pas de la gare de Perrache, c'est une invitation à la tranquillité qui s'offre à vous dans un cadre exceptionnel, en plein coeur de Lyon.
Le cadre extérieur offre de beaux espaces tant pour manger que pour se poser et boire un café dans les canapés.
L'intérieur est l'endroit où vous serez au frais (idéal par ces jolies températures estivales).
Très bon repas et service impeccable. Personnel très à l'écoute et disponible.

Un lieu où je retournerai et que je recommande"
93,Milouz-McFly,Milouz-McFly,30 juillet 2020,Amateurisme,2.0,friends,13,"Service non-professionnel. Ne sait pas répondre au client. Patron ne porte pas le masque, pourtant obligatoire. Attente interminable pour être servis. Un spritz pour lequel l'alcool a dû être oublié.
Pourtant cadre beau et sympa..."
